Filename;Filetype;Exif.Photo.ExposureBiasValue;Exif.Photo.DateTimeOriginal;Exif.Image.Model;Exif.Image.Orientation;Exif.Photo.FocalLength;Exif.Photo.FNumber;Exif.Photo.MeteringMode;Exif.Photo.ExposureTime;Exif.Photo.Flash;Exif.Photo.ExposureProgram;Exif.Image.Make;Exif.Photo.ISOSpeedRatings
IMG_20200716_222252.jpg;jpg;0/10;2020:07:16 22:22:54;ELE-L29;0;7480/1000;240/100;5;30000000/1000000000;0;2;HUAWEI;200
IMG_20200716_230423.jpg;jpg;0/10;2020:07:16 23:04:25;ELE-L29;0;2260/1000;220/100;5;60000000/1000000000;0;2;HUAWEI;1600
IMG_20200716_230438.jpg;jpg;0/10;2020:07:16 23:04:40;ELE-L29;0;2260/1000;220/100;5;50000000/1000000000;0;2;HUAWEI;2000
IMG_20200716_230442.jpg;jpg;0/10;2020:07:16 23:04:43;ELE-L29;0;2260/1000;220/100;5;50000000/1000000000;0;2;HUAWEI;2000
IMG_20200716_230614.jpg;jpg;0/10;2020:07:16 23:06:16;ELE-L29;0;3360/1000;200/100;5;70000000/1000000000;24;2;HUAWEI;3200
IMG_20200716_230620.jpg;jpg;0/10;2020:07:16 23:06:21;ELE-L29;0;3360/1000;200/100;5;70000000/1000000000;24;2;HUAWEI;3200
IMG_20200717_151555.jpg;jpg;0/10;2020:07:17 15:15:57;ELE-L29;0;7480/1000;240/100;5;826000/1000000000;0;2;HUAWEI;50
IMG_20200717_212727.jpg;jpg;0/10;2020:07:17 21:27:28;ELE-L29;0;7480/1000;240/100;5;2084000/1000000000;0;2;HUAWEI;50
IMG_20200717_212728.jpg;jpg;0/10;2020:07:17 21:27:29;ELE-L29;0;7480/1000;240/100;5;2108000/1000000000;0;2;HUAWEI;50
IMG_20200717_212731.jpg;jpg;0/10;2020:07:17 21:27:31;ELE-L29;0;7480/1000;240/100;5;2720000/1000000000;0;2;HUAWEI;50
IMG_20200717_212731_1.jpg;jpg;0/10;2020:07:17 21:27:32;ELE-L29;0;7480/1000;240/100;5;2720000/1000000000;0;2;HUAWEI;50
IMG_20200717_212739.jpg;jpg;0/10;2020:07:17 21:27:40;ELE-L29;0;7480/1000;240/100;5;2321000/1000000000;0;2;HUAWEI;50
IMG_20200717_212741.jpg;jpg;0/10;2020:07:17 21:27:42;ELE-L29;0;7480/1000;240/100;5;1697000/1000000000;0;2;HUAWEI;50
