Filename;Filetype;Exif.Photo.ExposureTime;Exif.Photo.FocalLength;Exif.Photo.ISOSpeedRatings;Exif.Photo.FNumber;Exif.Photo.ExposureProgram;Exif.Photo.MeteringMode;Exif.Photo.Flash;Exif.Image.Orientation;Exif.Photo.DateTimeOriginal;Exif.Image.Make;Exif.Photo.ExposureBiasValue;Exif.Image.Model
IMG_0161.JPG;jpg;1/800;9464/1000;100;40/10;;5;24;1;2012:06:28 12:43:36;Canon;0/3;Canon IXUS 117 HS
IMG_0162.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:06:28 12:44:15;Canon;0/3;Canon IXUS 117 HS
IMG_0163.JPG;jpg;1/400;14955/1000;100;50/10;;5;24;1;2012:06:28 12:45:09;Canon;0/3;Canon IXUS 117 HS
IMG_0164.JPG;jpg;1/200;5000/1000;100;80/10;;5;24;1;2012:06:28 12:45:29;Canon;0/3;Canon IXUS 117 HS
IMG_0165.JPG;jpg;1/400;17275/1000;100;56/10;;5;24;1;2012:06:28 12:45:45;Canon;0/3;Canon IXUS 117 HS
IMG_0167.JPG;jpg;1/200;5000/1000;100;80/10;;5;24;1;2012:06:28 12:48:24;Canon;0/3;Canon IXUS 117 HS
IMG_0169.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:06:28 12:54:30;Canon;0/3;Canon IXUS 117 HS
IMG_0170.JPG;jpg;1/800;9464/1000;100;40/10;;5;24;1;2012:06:28 13:16:17;Canon;0/3;Canon IXUS 117 HS
IMG_0172.JPG;jpg;1/640;10906/1000;100;40/10;;5;24;1;2012:06:28 13:19:28;Canon;0/3;Canon IXUS 117 HS
IMG_0174.JPG;jpg;1/500;10906/1000;200;40/10;;5;24;1;2012:06:28 13:23:47;Canon;0/3;Canon IXUS 117 HS
IMG_0175.JPG;jpg;1/500;20000/1000;400;59/10;;5;24;1;2012:06:28 13:40:13;Canon;0/3;Canon IXUS 117 HS
IMG_0177.JPG;jpg;1/500;17275/1000;200;56/10;;5;24;1;2012:06:28 13:53:18;Canon;0/3;Canon IXUS 117 HS
IMG_0178.JPG;jpg;1/1000;6008/1000;100;32/10;;5;24;1;2012:06:28 13:53:56;Canon;0/3;Canon IXUS 117 HS
IMG_0179.JPG;jpg;1/1250;6008/1000;200;32/10;;5;24;1;2012:06:28 13:54:07;Canon;0/3;Canon IXUS 117 HS
IMG_0180.JPG;jpg;1/1250;6008/1000;200;32/10;;5;24;1;2012:06:28 13:54:42;Canon;0/3;Canon IXUS 117 HS
IMG_0181.JPG;jpg;1/250;6008/1000;160;90/10;;2;73;1;2012:06:28 13:55:00;Canon;1/3;Canon IXUS 117 HS
IMG_0186.JPG;jpg;1/1500;5000/1000;125;28/10;;2;73;1;2012:06:28 14:01:58;Canon;1/3;Canon IXUS 117 HS
IMG_0187.JPG;jpg;1/1250;10906/1000;160;40/10;;2;73;1;2012:06:28 14:02:18;Canon;1/3;Canon IXUS 117 HS
IMG_0188.JPG;jpg;1/500;14955/1000;250;50/10;;2;73;1;2012:06:28 14:02:45;Canon;1/3;Canon IXUS 117 HS
IMG_0189.JPG;jpg;1/1500;5000/1000;125;28/10;;2;73;1;2012:06:28 14:03:30;Canon;1/3;Canon IXUS 117 HS
IMG_0190.JPG;jpg;1/60;5000/1000;400;28/10;;2;73;1;2012:06:28 14:13:50;Canon;1/3;Canon IXUS 117 HS
IMG_0191.JPG;jpg;1/60;5000/1000;500;28/10;;2;73;1;2012:06:28 14:14:34;Canon;1/3;Canon IXUS 117 HS
IMG_0192.JPG;jpg;1/60;14955/1000;500;50/10;;2;73;1;2012:06:28 14:14:52;Canon;1/3;Canon IXUS 117 HS
IMG_0193.JPG;jpg;1/80;5000/1000;200;28/10;;2;73;1;2012:06:28 14:18:18;Canon;1/3;Canon IXUS 117 HS
IMG_0194.JPG;jpg;1/60;5000/1000;500;28/10;;2;73;1;2012:06:28 14:23:27;Canon;1/3;Canon IXUS 117 HS
IMG_0195.JPG;jpg;1/60;12785/1000;500;45/10;;2;73;1;2012:06:28 14:24:29;Canon;1/3;Canon IXUS 117 HS
IMG_0196.JPG;jpg;1/60;17275/1000;500;56/10;;2;73;1;2012:06:28 14:24:46;Canon;1/3;Canon IXUS 117 HS
IMG_0197.JPG;jpg;1/60;5000/1000;250;28/10;;2;73;1;2012:06:28 14:44:06;Canon;1/3;Canon IXUS 117 HS
IMG_0198.JPG;jpg;1/160;5000/1000;250;28/10;;5;24;1;2012:06:28 15:43:20;Canon;0/3;Canon IXUS 117 HS
IMG_0199.JPG;jpg;1/125;5000/1000;250;28/10;;5;24;8;2012:06:28 15:44:08;Canon;0/3;Canon IXUS 117 HS
IMG_0200.JPG;jpg;1/125;5000/1000;200;28/10;;5;24;1;2012:06:28 15:45:29;Canon;0/3;Canon IXUS 117 HS
IMG_0202.JPG;jpg;1/125;5000/1000;200;28/10;;5;24;1;2012:06:28 15:46:24;Canon;0/3;Canon IXUS 117 HS
